2024-12-11T13:47:04.250+03:00 DEBUG 3080 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: URL [jar:file:/C:/Users/hayru/Desktop/Codes/wO/kouD/FalconStack/aymoose-server/image/internal/build/libs/aymoose-image-internal-plain.jar!/gtu/cse/se/altefdirt/aymoose/image/internal/infra/adapter/jpa/JpaImageRepository.class]
2024-12-11T13:47:04.250+03:00 DEBUG 3080 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/C:/Users/hayru/Desktop/Codes/wO/kouD/FalconStack/aymoose-server/image/internal/build/libs/aymoose-image-internal-plain.jar!/gtu/cse/se/altefdirt/aymoose/image/internal/infra/adapter/MinioFileRepository.class]
2024-12-11T13:47:04.259+03:00 DEBUG 3080 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/C:/Users/hayru/Desktop/Codes/wO/kouD/FalconStack/aymoose-server/image/internal/build/libs/aymoose-image-internal-plain.jar!/gtu/cse/se/altefdirt/aymoose/image/internal/infra/adapter/rest/controller/ImageCommandV1Controller.class]
2024-12-11T13:47:04.261+03:00 DEBUG 3080 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/C:/Users/hayru/Desktop/Codes/wO/kouD/FalconStack/aymoose-server/image/internal/build/libs/aymoose-image-internal-plain.jar!/gtu/cse/se/altefdirt/aymoose/image/internal/infra/adapter/rest/controller/ImageQueryV1Controller.class]
2024-12-11T13:47:04.262+03:00 DEBUG 3080 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/C:/Users/hayru/Desktop/Codes/wO/kouD/FalconStack/aymoose-server/image/internal/build/libs/aymoose-image-internal-plain.jar!/gtu/cse/se/altefdirt/aymoose/image/internal/infra/config/MinioConfig.class]
2024-12-11T13:47:04.262+03:00 DEBUG 3080 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/C:/Users/hayru/Desktop/Codes/wO/kouD/FalconStack/aymoose-server/image/internal/build/libs/aymoose-image-internal-plain.jar!/gtu/cse/se/altefdirt/aymoose/image/internal/infra/mapper/ImageMapper.class]
2024-12-11T13:47:04.263+03:00 DEBUG 3080 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/C:/Users/hayru/Desktop/Codes/wO/kouD/FalconStack/aymoose-server/image/internal/build/libs/aymoose-image-internal-plain.jar!/gtu/cse/se/altefdirt/aymoose/image/internal/infra/provider/ImageProviderImpl.class]
2024-12-11T13:47:04.263+03:00 DEBUG 3080 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/C:/Users/hayru/Desktop/Codes/wO/kouD/FalconStack/aymoose-server/account/internal/build/libs/aymoose-account-internal-plain.jar!/gtu/cse/se/altefdirt/aymoose/account/internal/application/command/handler/CreateAccountCommandHandler.class]
2024-12-11T13:47:04.264+03:00 DEBUG 3080 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/C:/Users/hayru/Desktop/Codes/wO/kouD/FalconStack/aymoose-server/account/internal/build/libs/aymoose-account-internal-plain.jar!/gtu/cse/se/altefdirt/aymoose/account/internal/application/command/handler/DeleteAccountCommandHandler.class]
2024-12-11T13:47:04.264+03:00 DEBUG 3080 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/C:/Users/hayru/Desktop/Codes/wO/kouD/FalconStack/aymoose-server/account/internal/build/libs/aymoose-account-internal-plain.jar!/gtu/cse/se/altefdirt/aymoose/account/internal/application/command/handler/DeleteProfilePictureCommandHandler.class]
